Date,Sales_Rep,Product,Items_Sold,Sales_Amount,Profit
2/21/2024,Alice,Tablet,3,470.13,127
4/2/2024,Bob,Laptop,5,799.84,216.07
1/15/2024,Alice,Tablet,6,532.33,143.81
3/12/2024,Alice,Laptop,9,986.76,266.57
3/1/2024,Charlie,Headphones,5,439.07,118.61
1/21/2024,Bob,Smartphone,1,774.62,209.26
3/23/2024,Diana,Headphones,4,453.69,122.56
3/27/2024,Diana,Laptop,5,846.25,228.61
3/15/2024,Charlie,Laptop,5,612.17,165.37
3/15/2024,Charlie,Headphones,7,157.16,42.46
3/28/2024,Bob,Laptop,4,133.14,35.97
4/9/2024,Diana,Headphones,1,220.47,59.56
1/24/2024,Diana,Smartphone,5,112.3,30.34
1/3/2024,Diana,Headphones,7,167.82,45.34
1/22/2024,Alice,Smartphone,6,722.54,195.19
2/22/2024,Diana,Headphones,5,580.91,156.93
1/2/2024,Alice,Laptop,4,774.92,209.34
3/28/2024,Bob,Headphones,2,921.85,249.03
1/30/2024,Alice,Laptop,4,626.63,169.28
2/7/2024,Bob,Headphones,3,753.51,203.56
1/2/2024,Diana,Headphones,1,781.37,211.08
3/4/2024,Diana,Tablet,8,440.07,118.88
2/29/2024,Bob,Laptop,5,316.98,85.63
1/21/2024,Charlie,Tablet,4,284.54,76.87
2/2/2024,Bob,Laptop,8,326.3,88.15
3/16/2024,Charlie,Tablet,7,347.26,93.81
2/27/2024,Alice,Smartphone,2,286.5,77.4
1/22/2024,Alice,Headphones,1,890.4,240.54
3/29/2024,Alice,Laptop,4,781.3,211.06
2/18/2024,Diana,Laptop,8,142.21,38.42
3/31/2024,Alice,Headphones,2,341.81,92.34
2/28/2024,Charlie,Laptop,3,119.97,32.41
2/11/2024,Alice,Laptop,1,548.35,148.13
4/1/2024,Bob,Tablet,1,528.59,142.8
2/29/2024,Bob,Laptop,3,848.23,229.15
3/20/2024,Diana,Smartphone,5,377,101.84
1/15/2024,Bob,Smartphone,3,834.75,225.5
3/2/2024,Charlie,Headphones,1,971.18,262.36
3/2/2024,Alice,Laptop,1,179.57,48.51
2/16/2024,Diana,Headphones,8,812.64,219.53
3/2/2024,Alice,Smartphone,2,630.96,170.45
2/20/2024,Alice,Laptop,3,532.04,143.73
2/24/2024,Charlie,Laptop,2,478.48,129.26
3/4/2024,Bob,Headphones,3,806.2,217.79
1/3/2024,Bob,Smartphone,7,675.43,182.46
2/20/2024,Alice,Laptop,1,824.54,222.75
1/7/2024,Diana,Headphones,8,912.84,246.6
1/21/2024,Bob,Smartphone,2,655.54,177.09
3/13/2024,Diana,Headphones,3,982.42,265.4
2/8/2024,Bob,Tablet,9,647.28,174.86
1/18/2024,Diana,Laptop,7,672.98,181.8
1/4/2024,Charlie,Tablet,4,599.33,161.91
3/29/2024,Diana,Smartphone,5,181.9,49.14
2/29/2024,Charlie,Tablet,2,753.76,203.62
1/14/2024,Charlie,Tablet,8,592.7,160.12
1/9/2024,Diana,Smartphone,4,505.82,136.64
3/30/2024,Charlie,Headphones,9,919.42,248.38
2/22/2024,Alice,Tablet,5,368.16,99.46
1/2/2024,Charlie,Headphones,9,571.24,154.32
3/24/2024,Bob,Tablet,4,727.88,196.63
4/1/2024,Diana,Headphones,5,816.82,220.66
2/29/2024,Alice,Smartphone,9,513.41,138.7
3/11/2024,Diana,Tablet,8,857.88,231.75
2/13/2024,Bob,Smartphone,3,792.03,213.96
1/8/2024,Bob,Tablet,1,159.61,43.12
2/16/2024,Bob,Smartphone,3,141.28,38.17
2/4/2024,Charlie,Smartphone,4,658.73,177.95
3/18/2024,Charlie,Tablet,2,412.67,111.48
3/21/2024,Diana,Tablet,1,288.22,77.86
2/5/2024,Diana,Tablet,7,621.68,167.94
2/19/2024,Alice,Laptop,8,407.41,110.06
1/4/2024,Alice,Headphones,7,583.54,157.64
1/2/2024,Diana,Laptop,5,514.11,138.88
1/6/2024,Charlie,Laptop,1,626.29,169.19
2/23/2024,Bob,Smartphone,7,460.27,124.34
1/4/2024,Diana,Tablet,7,727.9,196.64
2/23/2024,Alice,Headphones,9,262.06,70.79
4/2/2024,Charlie,Smartphone,3,726.85,196.36
3/3/2024,Diana,Laptop,9,470.5,127.1
1/18/2024,Diana,Tablet,1,886.89,239.59
3/30/2024,Charlie,Smartphone,1,563.71,152.28
2/13/2024,Diana,Tablet,4,975.8,263.61
2/3/2024,Charlie,Smartphone,9,641.74,173.36
3/14/2024,Bob,Tablet,6,301.46,81.44
3/2/2024,Charlie,Laptop,3,839.61,226.82
4/9/2024,Charlie,Headphones,1,410.57,110.91
1/14/2024,Charlie,Laptop,4,412.86,111.53
4/4/2024,Diana,Headphones,9,128.62,34.75
2/17/2024,Diana,Tablet,3,593.84,160.42
1/15/2024,Charlie,Smartphone,9,580.98,156.95
3/12/2024,Diana,Laptop,7,420.39,113.57
3/18/2024,Alice,Headphones,4,904.8,244.43
3/27/2024,Alice,Laptop,3,215.87,58.32
3/2/2024,Diana,Headphones,5,397.09,107.27
2/9/2024,Diana,Laptop,5,389.42,105.2
3/25/2024,Charlie,Headphones,3,183.06,49.45
3/20/2024,Bob,Headphones,9,533.03,144
3/22/2024,Diana,Tablet,4,719.01,194.24
2/22/2024,Alice,Headphones,5,560.49,151.41
1/24/2024,Charlie,Tablet,4,241.28,65.18
1/26/2024,Diana,Headphones,5,439.56,118.75
3/29/2024,Alice,Smartphone,7,102.34,27.65
2/29/2024,Alice,Smartphone,9,881.47,238.13
2/10/2024,Bob,Smartphone,7,176.07,47.56
1/29/2024,Charlie,Headphones,5,637.55,172.23
1/15/2024,Charlie,Tablet,7,987.63,266.8
2/14/2024,Bob,Tablet,5,582.93,157.48
3/5/2024,Bob,Headphones,3,931.64,251.68
3/29/2024,Charlie,Smartphone,7,312.5,84.42
3/11/2024,Charlie,Smartphone,2,783.96,211.78
1/9/2024,Diana,Tablet,9,578.14,156.18
3/28/2024,Diana,Smartphone,1,748.46,202.19
1/1/2024,Bob,Laptop,6,156.11,42.17
1/8/2024,Diana,Tablet,7,232.97,62.94
3/28/2024,Alice,Smartphone,8,219.81,59.38
3/3/2024,Diana,Tablet,9,718.45,194.09
1/11/2024,Diana,Laptop,2,860,232.33
3/21/2024,Alice,Tablet,2,774.65,209.27
1/8/2024,Bob,Tablet,5,127.42,34.42
2/4/2024,Alice,Tablet,5,880.49,237.86
2/4/2024,Diana,Tablet,6,418.73,113.12
2/2/2024,Bob,Laptop,3,457.45,123.58
1/5/2024,Diana,Headphones,8,194.38,52.51
2/10/2024,Alice,Tablet,1,763.66,206.3
1/28/2024,Alice,Tablet,6,264.06,71.33
1/7/2024,Diana,Smartphone,4,607.57,164.13
3/13/2024,Charlie,Tablet,1,856.64,231.42
3/12/2024,Charlie,Smartphone,7,180.28,48.7
1/12/2024,Alice,Headphones,9,581.8,157.17
2/3/2024,Alice,Laptop,4,309.89,83.72
2/2/2024,Charlie,Laptop,4,408.63,110.39
2/17/2024,Charlie,Headphones,6,526.57,142.25
1/23/2024,Diana,Laptop,3,419.59,113.35
3/2/2024,Diana,Headphones,6,683.94,184.76
3/28/2024,Charlie,Headphones,7,531.62,143.61
2/6/2024,Diana,Headphones,3,625.78,169.05
4/8/2024,Diana,Laptop,7,763.14,206.16
2/13/2024,Bob,Smartphone,3,601.97,162.62
3/26/2024,Diana,Headphones,2,627.88,169.62
3/31/2024,Alice,Tablet,4,608.01,164.25
2/4/2024,Diana,Laptop,8,440.9,119.11
3/5/2024,Diana,Headphones,9,403.7,109.06
4/8/2024,Charlie,Headphones,7,909.68,245.75
2/16/2024,Alice,Tablet,1,646.8,174.73
3/18/2024,Diana,Smartphone,3,319.92,86.42
1/3/2024,Diana,Smartphone,9,548.42,148.15
1/1/2024,Bob,Smartphone,1,397.31,107.33
1/5/2024,Diana,Headphones,9,940.32,254.02
